Height	Poly	Deg
1.05379074496120 	x + 4 	1
1.05379074496120 	x + 2 	1
1.30646935508595 	x - 1 	1
1.30646935508595 	2*x - 1 	1
2.15936387412639 	x - 4 	1
2.29030712112631 	x - 8 	1
2.36811846980669 	x - 5 	1
2.59943098078629 	x + 3 	1
2.61484917256470 	x - 3 	1
2.61484917256470 	4*x + 1 	1
2.70511644617245 	x + 10 	1
2.86322853178352 	x + 6 	1
2.86542650386443 	x - 6 	1
2.96822297239497 	x + 7 	1
3.16137223488359 	4*x - 5 	1
3.38796354318205 	x + 8 	1
3.46302635049464 	x + 5 	1
3.46302635049464 	4*x + 7 	1
3.71851987319639 	4*x - 1 	1
3.80422692427882 	x - 10 	1
3.80918834902896 	4*x + 3 	1
3.91633312132350 	4*x - 3 	1
4.06824379874327 	x - 7 	1
4.12578962340260 	4*x + 5 	1
4.31872774825279 	5*x + 2 	1
4.40784066166642 	9*x + 2 	1
4.41141539778297 	9*x - 2 	1
4.44148164097689 	9*x + 4 	1
4.46811577580015 	9*x - 4 	1
4.53078105456924 	x + 9 	1
4.53145908561746 	x - 9 	1
4.54070855460226 	9*x + 8 	1
4.58061424225261 	3*x + 2 	1
4.62404061113428 	4*x - 7 	1
4.68551861946595 	9*x + 10 	1
4.70102888157488 	9*x - 8 	1
4.73623693961337 	2*x + 1 	1
4.73994738749804 	5*x - 4 	1
4.73994738749804 	3*x - 2 	1
4.85592952384653 	9*x - 10 	1
4.92407227697376 	4*x + 9 	1
4.95722658639815 	4*x - 9 	1
5.19886196157259 	2*x + 5 	1
5.22587742034381 	8*x + 7 	1
5.32221438362938 	9*x + 1 	1
5.32266902730797 	9*x - 1 	1
5.38753574417492 	9*x + 5 	1
5.41023289234490 	3*x + 4 	1
5.43680386514394 	9*x - 5 	1
5.43767185196961 	9*x + 7 	1
0.653234677542977 	x^2 + 2 	2
0.850794569229573 	x^2 - x + 4 	2
0.926588831916461 	4*x^2 - x - 2 	2
0.926588831916461 	x^2 - 7*x + 4 	2
1.05379074496120 	4*x^2 - x + 4 	2
1.05379074496120 	x^2 - x + 2 	2
1.12783293558850 	x^2 + 8*x + 4 	2
1.12783293558850 	x^2 - 4*x - 8 	2
1.30646935508595 	x^2 - 4*x - 4 	2
1.44325957485071 	x^2 + 5*x - 2 	2
1.59158196362623 	x^2 - 10*x + 4 	2
1.72851864959345 	x^2 - 2 	2
1.81052467243680 	x^2 + 2*x + 10 	2
1.81052467243680 	x^2 + 2*x + 2 	2
1.85317766383292 	3*x^2 - 2*x + 4 	2
1.91145994684334 	x^2 - x - 8 	2
1.96122405611832 	x^2 - 7*x - 2 	2
2.01958213512142 	x^2 - 6*x - 4 	2
2.07716470989058 	3*x^2 + 2*x + 2 	2
2.07992971699467 	x^2 + 6*x - 4 	2
2.08193700344704 	3*x^2 + 4*x + 4 	2
2.08193700344704 	x^2 + 8 	2
2.10758148992239 	7*x^2 + 2*x + 4 	2
2.10758148992239 	x^2 - 2*x + 4 	2
2.11616394375260 	x^2 - 2*x - 2 	2
2.11616394375260 	x^2 - 10*x - 2 	2
2.14915587646271 	x^2 + 6*x + 2 	2
2.15624477781833 	x^2 + 4 	2
2.15936387412639 	4*x^2 - x - 4 	2
2.16573942354744 	x^2 - 6*x + 2 	2
2.16573942354744 	3*x^2 - 2*x - 2 	2
2.16962027121112 	4*x^2 - 7*x + 4 	2
2.22637000795709 	x^2 - 2*x - 4 	2
2.25255546980971 	x^2 + 5*x - 8 	2
2.26707629009548 	2*x^2 + 7*x + 8 	2
2.28529707875364 	x^2 + x + 2 	2
2.31869629104603 	x^2 - 10*x + 10 	2
2.31869629104603 	7*x^2 + 2*x - 2 	2
2.35121555877499 	x^2 + 2*x - 4 	2
2.37663610921141 	2*x^2 - 3*x + 4 	2
2.42388002052887 	x^2 + 4*x + 2 	2
2.43380774922377 	7*x^2 + 2*x - 8 	2
2.51145604770778 	x^2 + 1 	2
2.61293871017191 	x^2 + x + 1 	2
2.64421994552445 	3*x^2 - 4*x + 8 	2
2.73594906725865 	x^2 + 6*x + 4 	2
2.74289698062419 	3*x^2 + 8*x + 8 	2
2.74501837509602 	x^2 + 4*x - 4 	2
2.75146687168260 	4*x^2 - x - 8 	2
2.76393205988309 	x^2 - 7*x + 1 	2
